Pub_year,Title,DOI,subject,top5_keywords
1973.0,reliable perturbative results for strong interactions,https://doi.org/10.1103/PhysRevLett.30.1346,Physics,perturbative reliable strong interactions results
1957.0,magnetic properties of superconductors of the second group,,Physics,superconductors group magnetic second properties
1983.0,quantum tunnelling in a dissipative system,https://doi.org/10.1016/0003-4916(83)90202-6,Physics,dissipative tunnelling quantum system
1970.0,can a solid be superfluid,https://doi.org/10.1103/PhysRevLett.25.1543,Physics,superfluid solid
1972.0,interpretation of recent results on sup 3 he below 3 mk a new liquid phase,https://doi.org/10.1103/PhysRevLett.29.1227,Physics,sup mk interpretation recent liquid phase results new
1965.0,theory of a superfluid fermi liquid i general formalism and static properties,https://doi.org/10.1103/PhysRev.140.A1869,Physics,formalism static fermi superfluid liquid general properties
1950.0,On the Theory of superconductivity(In Russian),,Physics,russian superconductivity
1998.0,evidence for oscillation of atmospheric neutrinos,https://doi.org/10.1103/PhysRevLett.81.1562,Physics,oscillation atmospheric neutrinos evidence
1987.0,observation of a neutrino burst from the supernova sn1987a,https://doi.org/10.1103/PhysRevLett.58.1490,Physics,sn1987a burst supernova neutrino observation
1962.0,evidence for x rays from sources outside the solar system,https://doi.org/10.1103/PhysRevLett.9.439,Physics,outside solar sources rays evidence system
1968.0,search for neutrinos from the sun,https://doi.org/10.1103/PhysRevLett.20.1205,Physics,sun search neutrinos
1995.0,bose einstein condensation in a gas of sodium atoms,https://doi.org/10.1103/PhysRevLett.75.3969,Physics,bose condensation einstein gas sodium atoms
1982.0,heterostructure bipolar transistors and integrated circuits,https://doi.org/10.1109/PROC.1982.12226,Physics,circuits transistors bipolar heterostructure integrated
1995.0,ultranarrow luminescence lines from single quantum dots,https://doi.org/10.1103/PhysRevLett.74.4043,Physics,ultranarrow luminescence dots lines quantum single
1976.0,invention of the integrated circuit,https://doi.org/10.1109/T-ED.1976.18467,Physics,invention circuit integrated
1982.0,two dimensional magnetotransport in the extreme quantum limit,https://doi.org/10.1103/PhysRevLett.48.1559,Physics,extreme magnetotransport limit dimensional quantum
1982.0,two dimensional magnetotransport in the extreme quantum limit,https://doi.org/10.1103/PhysRevLett.48.1559,Physics,extreme magnetotransport limit dimensional quantum
1983.0,anomalous quantum hall effect an incompressible quantum fluid with fractionally charged excitations,https://doi.org/10.1103/PhysRevLett.50.1395,Physics,quantum excitations fractionally incompressible fluid hall anomalous charged effect
1988.0,observation of atoms laser cooled below the doppler limit,https://doi.org/10.1103/PhysRevLett.61.169,Physics,doppler cooled limit laser observation atoms
1988.0,laser cooling below the one photon recoil by velocity selective coherent population trapping,https://doi.org/10.1103/PhysRevLett.61.826,Physics,cooling trapping selective photon recoil population coherent laser velocity
1986.0,observation of a single beam gradient force optical trap for dielectric particles,https://doi.org/10.1364/OL.11.000288,Physics,dielectric trap gradient force beam observation optical particles single
1972.0,evidence for a new phase of solid he 3,https://doi.org/10.1103/PhysRevLett.28.885,Physics,solid phase evidence new
1972.0,new magnetic phenomena in liquidhe3below 3 mk,https://doi.org/10.1103/PhysRevLett.29.920,Physics,liquidhe3below mk phenomena magnetic new
1972.0,evidence for a new phase of solid he 3,https://doi.org/10.1103/PhysRevLett.28.885,Physics,solid phase evidence new
1972.0,evidence for a new phase of solid he 3,https://doi.org/10.1103/PhysRevLett.28.885,Physics,solid phase evidence new
1972.0,new magnetic phenomena in liquidhe3below 3 mk,https://doi.org/10.1103/PhysRevLett.29.920,Physics,liquidhe3below mk phenomena magnetic new
1974.0,discovery of a narrow resonance in e e annihilation,https://doi.org/10.1103/PhysRevLett.33.1406,Physics,annihilation narrow discovery resonance
1974.0,the discovery of a second narrow resonance in e e annihilation,https://doi.org/10.1103/PhysRevLett.33.1453,Physics,annihilation narrow discovery resonance second
1975.0,evidence for anomalous lepton production in e e annihilation,https://doi.org/10.1103/PhysRevLett.35.1489,Physics,lepton annihilation anomalous production evidence
1953.0,detection of the free neutrino,https://doi.org/10.1103/PhysRev.92.830,Physics,detection neutrino free
1951.0,neutron diffraction by paramagnetic and antiferromagnetic substances,https://doi.org/10.1103/PhysRev.83.333,Physics,antiferromagnetic neutron paramagnetic diffraction substances
1959.0,lattice vibrations in silicon and germanium,https://doi.org/10.1103/PhysRevLett.2.256,Physics,silicon vibrations germanium lattice
1958.0,normal modes of germanium by neutron spectrometry,https://doi.org/10.1103/PhysRev.111.747,Physics,modes spectrometry neutron germanium normal
1968.0,the use of multiwire proportional counters to select and localize charged particles,https://doi.org/10.1016/0029-554X(68)90371-6,Physics,localize select multiwire counters proportional charged particles
1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,https://doi.org/10.1103/PhysRevLett.23.930,Physics,degrees inelastic scattering 10 energy
1968.0,electron proton elastic scattering at high momentum transfers,https://doi.org/10.1103/PhysRevLett.20.292,Physics,transfers momentum elastic proton scattering electron
1969.0,observed behavior of highly inelastic electron proton scattering,https://doi.org/10.1103/PhysRevLett.23.935,Physics,inelastic behavior proton highly scattering observed electron
1969.0,high energy inelastic e p scattering at 6 and 10,,Physics,inelastic scattering 10 energy
1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,https://doi.org/10.1103/PhysRevLett.23.930,Physics,degrees inelastic scattering 10 energy
1968.0,electron proton elastic scattering at high momentum transfers,https://doi.org/10.1103/PhysRevLett.20.292,Physics,transfers momentum elastic proton scattering electron
1969.0,observed behavior of highly inelastic electron proton scattering,https://doi.org/10.1103/PhysRevLett.23.935,Physics,inelastic behavior proton highly scattering observed electron
1969.0,high energy inelastic e p scattering at 6 and 10,,Physics,inelastic scattering 10 energy
1969.0,high energy inelastic e p scattering at 6 degrees and 10 degrees,https://doi.org/10.1103/PhysRevLett.23.930,Physics,degrees inelastic scattering 10 energy
1968.0,electron proton elastic scattering at high momentum transfers,https://doi.org/10.1103/PhysRevLett.20.292,Physics,transfers momentum elastic proton scattering electron
1969.0,observed behavior of highly inelastic electron proton scattering,https://doi.org/10.1103/PhysRevLett.23.935,Physics,inelastic behavior proton highly scattering observed electron
1969.0,measurements of elastic electron deuteron scattering at high momentum transfers,https://doi.org/10.1103/PhysRev.177.2075,Physics,deuteron transfers momentum elastic measurements scattering electron
1969.0,high energy inelastic e p scattering at 6 and 10,,Physics,inelastic scattering 10 energy
1950.0,magnetic shielding of nuclei in molecules,https://doi.org/10.1103/PhysRev.78.699,Physics,shielding nuclei magnetic molecules
1957.0,modulation of a light beam by precessing absorbing atoms,https://doi.org/10.1103/PhysRev.105.1924,Physics,precessing absorbing modulation beam light atoms
1957.0,slow spin relaxation of optically polarized sodium atoms,https://doi.org/10.1103/PhysRev.105.1487,Physics,optically polarized relaxation slow spin sodium atoms
1958.0,spin resonance of free electrons polarized by exchange collisions,https://doi.org/10.1103/PhysRev.109.381,Physics,collisions polarized exchange spin resonance electrons free
1953.0,notizen ein neues massenspektrometer ohne magnetfeld,https://doi.org/10.1515/zna-1953-0710,Physics,magnetfeld massenspektrometer notizen ohne neues ein
1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,https://doi.org/10.1103/PhysRevLett.9.36,Physics,kinds neutrino existence neutrinos observation reactions energy
1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,https://doi.org/10.1103/PhysRevLett.9.36,Physics,kinds neutrino existence neutrinos observation reactions energy
1962.0,observation of high energy neutrino reactions and the existence of two kinds of neutrinos,https://doi.org/10.1103/PhysRevLett.9.36,Physics,kinds neutrino existence neutrinos observation reactions energy
1986.0,possible high tc superconductivity in the ba la cu o system,https://doi.org/10.1007/BF01303701,Physics,cu ba tc la superconductivity possible system
1986.0,possible high tc superconductivity in the ba la cu o system,https://doi.org/10.1007/BF01303701,Physics,cu ba tc la superconductivity possible system
1982.0,surface studies by scanning tunneling microscopy,https://doi.org/10.1007/978-94-011-1812-5_1,Physics,scanning tunneling microscopy surface studies
1982.0,scanning tunneling microscopy,,Physics,scanning tunneling microscopy
1982.0,surface studies by scanning tunneling microscopy,https://doi.org/10.1007/978-94-011-1812-5_1,Physics,scanning tunneling microscopy surface studies
1932.0,beitrag zur geometrischen elektronenoptik ii,https://doi.org/10.1002/andp.19324040602,Physics,elektronenoptik geometrischen beitrag zur ii
1980.0,new method for high accuracy determination of the fine structure constant based on quantized hall resistance,https://doi.org/10.1103/PhysRevLett.45.494,Physics,hall quantized accuracy fine resistance based constant determination method structure
1951.0,excited states of the mirror nuclei li7 and be7,https://doi.org/10.1103/PhysRev.82.159,Physics,be7 li7 mirror excited nuclei states
1971.0,renormalization group and critical phenomena 1 renormalization group and the kadanoff scaling picture,https://doi.org/10.1103/PhysRevB.4.3174,Physics,renormalization group scaling kadanoff picture critical phenomena
1971.0,renormalization group and critical phenomena 2 phase space cell analysis of critical behavior,https://doi.org/10.1103/PhysRevB.4.3184,Physics,critical renormalization phenomena space behavior group phase analysis cell
1956.0, ray spectroscopy in the precision range of 1 105,https://doi.org/10.1016/0029-5582(56)90015-3,Physics,precision 105 spectroscopy ray range
1958.0,infrared and optical masers,https://doi.org/10.1103/PhysRev.112.1940,Physics,masers infrared optical
1962.0,light waves at the boundary of nonlinear media,https://doi.org/10.1103/PhysRev.128.606,Physics,boundary nonlinear media waves light
1962.0,interactions between light waves in a nonlinear dielectric,https://doi.org/10.1103/PhysRev.127.1918,Physics,nonlinear waves dielectric interactions light
1964.0,evidence for the 2 pi decay of the k2 0 meson,https://doi.org/10.1103/PhysRevLett.13.138,Physics,pi meson k2 decay evidence
1964.0,evidence for the 2 pi decay of the k2 0 meson,https://doi.org/10.1103/PhysRevLett.13.138,Physics,pi meson k2 decay evidence
,,https://doi.org/10.1007/BF02726525,Physics,
1967.0,a model of leptons,https://doi.org/10.1103/PhysRevLett.19.1264,Physics,leptons model
1958.0,absence of diffusion in certain random lattices,https://doi.org/10.1103/PhysRev.109.1492,Physics,lattices random diffusion absence certain
1932.0,theory of the variations in paramagnetic anisotropy among different salts of the iron group,https://doi.org/10.1103/PhysRev.41.208,Physics,anisotropy iron paramagnetic salts among variations group different
1932.0,theory of the variations in paramagnetic anisotropy among different salts of the iron group,https://doi.org/10.1103/PhysRev.41.208,Physics,anisotropy iron paramagnetic salts among variations group different
1974.0,experimental observation of a heavy particle j,https://doi.org/10.1103/PhysRevLett.33.1404,Physics,heavy experimental particle observation
1974.0,discovery of a narrow resonance in e e annihilation,https://doi.org/10.1103/PhysRevLett.33.1406,Physics,annihilation narrow discovery resonance
1974.0,the discovery of a second narrow resonance in e e annihilation,https://doi.org/10.1103/PhysRevLett.33.1453,Physics,annihilation narrow discovery resonance second
1953.0,interpretation of isomeric transitions of electric quadrupole type,https://doi.org/10.1103/PhysRev.89.316,Physics,isomeric quadrupole transitions interpretation electric type
1953.0,rotational states in even even nuclei,https://doi.org/10.1103/PhysRev.90.717.2,Physics,even rotational nuclei states
1953.0,interpretation of isomeric transitions of electric quadrupole type,https://doi.org/10.1103/PhysRev.89.316,Physics,isomeric quadrupole transitions interpretation electric type
1953.0,rotational states in even even nuclei,https://doi.org/10.1103/PhysRev.90.717.2,Physics,even rotational nuclei states
1950.0,nuclear energy level argument for a spheroidal nuclear model,https://doi.org/10.1103/PhysRev.79.432,Physics,nuclear spheroidal argument level model energy
1946.0,solar radiation on 175 mc s,https://doi.org/10.1007/978-94-009-7752-5_18,Physics,175 mc solar radiation
1958.0,new phenomenon in narrow germanium p n junctions,https://doi.org/10.1103/PhysRev.109.603,Physics,junctions germanium phenomenon narrow new
1960.0,electron tunneling between two superconductors,https://doi.org/10.1103/PhysRevLett.5.464,Physics,superconductors tunneling electron
1961.0,study of superconductors by electron tunneling,https://doi.org/10.1103/PhysRev.122.1101,Physics,superconductors tunneling study electron
1960.0,energy gap in superconductors measured by electron tunneling,https://doi.org/10.1103/PhysRevLett.5.147,Physics,gap superconductors tunneling measured energy electron
1962.0,possible new effects in superconductive tunnelling,https://doi.org/10.1016/0031-9163(62)91369-0,Physics,superconductive tunnelling effects possible new
1957.0,theory of superconductivity,https://doi.org/10.1103/PhysRev.108.1175,Physics,superconductivity
1957.0,theory of superconductivity,https://doi.org/10.1103/PhysRev.108.1175,Physics,superconductivity
1957.0,theory of superconductivity,https://doi.org/10.1103/PhysRev.108.1175,Physics,superconductivity
1948.0,proprietes magnetiques des ferrites ferrimagnetisme et antiferromagnetisme,https://doi.org/10.1051/anphys/194812030137,Physics,antiferromagnetisme ferrimagnetisme ferrites magnetiques proprietes et des
1939.0,on the motion of cosmic rays in interstellar space,https://doi.org/10.1103/PhysRev.55.425,Physics,interstellar cosmic motion space rays
1960.0,the axial vector current in beta decay,https://doi.org/10.1007/BF02859738,Physics,axial decay beta vector current
1962.0,symmetries of baryons and mesons,https://doi.org/10.1103/PhysRev.125.1067,Physics,baryons symmetries mesons
1958.0,theory of the fermi interaction,https://doi.org/10.1103/PhysRev.109.193,Physics,fermi interaction
1961.0,evidence for a t 0 three pion resonance,https://doi.org/10.1103/PhysRevLett.7.178,Physics,pion resonance evidence
1957.0,catalysis of nuclear reactions by mu mesons,https://doi.org/10.1103/PhysRev.105.1127,Physics,mu catalysis mesons nuclear reactions
1939.0,energy production in stars,https://doi.org/10.1103/PhysRev.55.434,Physics,stars production energy
1950.0,*quelques suggestions concernant la production optique et la detection optique dune inegalite de population des niveaux de quantification spatiale des atomes - application a lexperience de stern et gerlach et a la resonance magnetique,,Physics,la de et optique des gerlach magnetique dune spatiale atomes
1950.0,mathematical formulation of the quantum theory of electromagnetic interaction,https://doi.org/10.1103/PhysRev.80.440,Physics,mathematical formulation electromagnetic interaction quantum
1948.0,a relativistic cut off for classical electrodynamics,https://doi.org/10.1103/PhysRev.74.939,Physics,cut relativistic electrodynamics classical
1948.0,relativistic cut off for quantum electrodynamics,https://doi.org/10.1103/PhysRev.74.1430,Physics,cut relativistic electrodynamics quantum
1949.0,space time approach to quantum electrodynamics,https://doi.org/10.1103/PhysRev.76.769,Physics,electrodynamics approach space time quantum
1949.0,the theory of positrons,https://doi.org/10.1103/PhysRev.76.749,Physics,positrons
1948.0,quantum electrodynamics i a covariant formulation,https://doi.org/10.1103/PhysRev.74.1439,Physics,covariant electrodynamics formulation quantum
1948.0,on quantum electrodynamics and the magnetic moment of the electron,https://doi.org/10.1103/PhysRev.73.416,Physics,electrodynamics moment magnetic quantum electron
1948.0,on infinite field reactions in quantum field theory,https://doi.org/10.1103/PhysRev.74.224,Physics,field infinite quantum reactions
1949.0,on a relativistically invariant formulation of the quantum theory of wave fields,https://doi.org/10.1143/PTP.1.27,Physics,relativistically invariant formulation wave fields quantum
1954.0,*primenenie molekulyarnykh puchkov dlya radiospektroskopicheskogo izucheniya vrashchatelnykh spektrov molekul,,Physics,molekul spektrov vrashchatelnykh izucheniya radiospektroskopicheskogo dlya puchkov molekulyarnykh primenenie
1958.0,infrared and optical masers,https://doi.org/10.1103/PhysRev.112.1940,Physics,masers infrared optical
1955.0,stark effect in rapidly varying fields,https://doi.org/10.1103/PhysRev.100.703,Physics,stark varying rapidly fields effect
1954.0,*primenenie molekulyarnykh puchkov dlya radiospektroskopicheskogo izucheniya vrashchatelnykh spektrov molekul,,Physics,molekul spektrov vrashchatelnykh izucheniya radiospektroskopicheskogo dlya puchkov molekulyarnykh primenenie
1949.0,on the magic numbers in nuclear structure,https://doi.org/10.1103/PhysRev.75.1766.2,Physics,magic numbers nuclear structure
1949.0,on closed shells in nuclei ii,https://doi.org/10.1103/PhysRev.75.1969,Physics,shells closed nuclei ii
1932.0,on the quantum correction for thermodynamic equilibrium,https://doi.org/10.1103/PhysRev.40.749,Physics,thermodynamic correction equilibrium quantum
1934.0,on the interaction of electrons in metals,https://doi.org/10.1007/978-3-642-59033-7_36,Physics,metals interaction electrons
1941.0,theory of the superfluidity of helium ii,https://doi.org/10.1103/PhysRev.60.356,Physics,superfluidity helium ii
1958.0,kernresonanzfluoreszenz von gammastrahlung in ir191,https://doi.org/10.1007/BF01344210,Physics,kernresonanzfluoreszenz ir191 gammastrahlung von
1958.0,kernresonanzabsorption von gammastrahlung in ir191,https://doi.org/10.1007/BF00632050,Physics,kernresonanzabsorption ir191 gammastrahlung von
1949.0,the detection of gamma rays with thallium activated sodium iodide crystals,https://doi.org/10.1103/PhysRev.75.796,Physics,thallium iodide crystals gamma detection activated sodium rays
1952.0,some effects of ionizing radiation on the formation of bubbles in liquids,https://doi.org/10.1103/PhysRev.87.665,Physics,bubbles ionizing liquids radiation formation effects
1934.0,Visible emission of clean liquids by action of  radiation,,Physics,clean visible liquids emission radiation action
1937.0,coherent visible radiation from fast electrons passing through matter,,Physics,passing fast matter visible coherent electrons radiation
1956.0,question of parity conservation in weak interactions,https://doi.org/10.1103/PhysRev.104.254,Physics,parity conservation question weak interactions
1956.0,question of parity conservation in weak interactions,https://doi.org/10.1103/PhysRev.104.254,Physics,parity conservation question weak interactions
1948.0,the transistor a semi conductor triode,https://doi.org/10.1103/PhysRev.74.230,Physics,triode semi transistor conductor
1950.0,deformation potentials and mobilities in non polar crystals,https://doi.org/10.1103/PhysRev.80.72,Physics,deformation polar mobilities crystals potentials non
1948.0,the magnetic moment of the electron,https://doi.org/10.1103/PhysRev.74.250,Physics,moment magnetic electron
1947.0,fine structure of the hydrogen atom by a microwave method,https://doi.org/10.1103/PhysRev.72.241,Physics,fine microwave atom hydrogen method structure
1926.0,quantenmechanik der stosvorgange,https://doi.org/10.1007/BF01397184,Physics,stosvorgange quantenmechanik der
1926.0,zur quantenmechanik ii,https://doi.org/10.1007/978-3-642-61659-4_27,Physics,quantenmechanik zur ii
1928.0,beweis des adiabatensatzes,https://doi.org/10.1007/BF01343193,Physics,adiabatensatzes beweis des
1926.0,zur quantenmechanik der stosvorgange,https://doi.org/10.1007/BF01397477,Physics,stosvorgange quantenmechanik zur der
1927.0,on the quantum theory of molecules,,Physics,quantum molecules
1925.0,uber das wesen des comptoneffekts ein experimenteller beitrag zur theorie der strahlung,https://doi.org/10.1007/BF01331702,Physics,comptoneffekts experimenteller wesen strahlung theorie beitrag das ein zur uber
1934.0,diffraction theory of the knife edge test and its improved form the phase contrast method,https://doi.org/10.1093/mnras/94.5.377,Physics,knife edge improved test diffraction contrast phase form method
1946.0,the nuclear induction experiment,https://doi.org/10.1103/PhysRev.70.474,Physics,induction experiment nuclear
1946.0,resonance absorption by nuclear magnetic moments in a solid,https://doi.org/10.1103/PhysRev.69.37,Physics,moments solid absorption nuclear resonance magnetic
1947.0,observations on the tracks of slow mesons in photographic emulsions,https://doi.org/10.1038/160453a0,Physics,emulsions tracks mesons photographic slow observations
1937.0,on the nuclear transformation with the absorption of the orbital electron,https://doi.org/10.1103/PhysRev.51.677.2,Physics,orbital absorption transformation nuclear electron
1914.0,change of phase under pressure i the phase diagram of eleven substances with especial reference to the melting curve,https://doi.org/10.1103/PhysRev.3.126,Physics,phase especial eleven melting diagram reference curve change substances pressure
1914.0,two new modifications of phosphorus,https://doi.org/10.1021/ja02184a002,Physics,modifications phosphorus new
1914.0,the coagulation of albumen by pressure,,Physics,albumen coagulation pressure
1925.0,uber den zusammenhang des abschlusses der elektronengruppen im atom mit der komplexstruktur der spektren,https://doi.org/10.1007/BF02980631,Physics,der spektren elektronengruppen komplexstruktur zusammenhang abschlusses im mit den atom
1938.0,a new method of measuring nuclear magnetic moment,https://doi.org/10.1103/PhysRev.53.318,Physics,measuring moment nuclear magnetic method new
1922.0,der experimentelle nachweis des magnetischen moments des silberatoms,https://doi.org/10.1007/BF01329580,Physics,des magnetischen silberatoms experimentelle nachweis moments der
1922.0,the magnetic moment of silver atoms,https://doi.org/10.1007/BF01326984,Physics,silver moment magnetic atoms
1931.0,the production of high speed light ions without the use of high voltages,https://doi.org/10.1103/PhysRev.40.19,Physics,voltages speed without ions production light
1931.0,the production of heavy high speed ions without the use of high voltages,https://doi.org/10.1103/PhysRev.38.2021,Physics,voltages speed heavy without ions production
1934.0,an attempt of a theory of beta radiation 1,https://doi.org/10.1007/BF01351864,Physics,attempt beta radiation
1927.0,diffraction of electrons by a crystal of nickel,https://doi.org/10.1103/PhysRev.30.705,Physics,nickel diffraction crystal electrons
1912.0,observations in low level radiation during seven free balloon flights.,,Physics,flights balloon level observations radiation free
1933.0,the positive electron,https://doi.org/10.1103/PhysRev.43.491,Physics,positive electron
1926.0,an undulatory theory of the mechanics of atoms and molecules,https://doi.org/10.1103/PhysRev.28.1049,Physics,undulatory mechanics atoms molecules
1926.0,quantisierung als eigenwertproblem,https://doi.org/10.1002/andp.19263840404,Physics,eigenwertproblem quantisierung als
1926.0,der stetige ubergang von der mikro zur makromechanik,https://doi.org/10.1007/BF01507634,Physics,der ubergang makromechanik stetige mikro zur von
1926.0,uber das verhaltnis der heisenberg born jordanschen quantenmechanik zu der meinem,https://doi.org/10.1002/andp.19263840804,Physics,der meinem jordanschen verhaltnis born heisenberg quantenmechanik zu das uber
1928.0,zur theorie des ferromagnetismus,https://doi.org/10.1007/BF01328601,Physics,ferromagnetismus theorie zur des
1901.0,on the negative radiation from hot platinum,,Physics,hot platinum negative radiation
1923.0,the spectrum of scattered x rays,https://doi.org/10.1103/PhysRev.22.409,Physics,scattered spectrum rays
1923.0,a quantum theory of the scattering of x rays by light elements,https://doi.org/10.1103/PhysRev.21.483,Physics,elements scattering rays light quantum
1908.0,sur la theorie du mouvement brownien,,Physics,brownien mouvement sur du theorie la
1916.0,the kinetics of electrons and ions in gases,,Physics,kinetics gases ions electrons
1919.0,the confirmation of the bohr atomic theory in the optical spectra by means of experiments of the unelastic impacts of slow electrons with gas molecules,,Physics,impacts unelastic bohr confirmation gas slow atomic spectra means optical
1916.0,the kinetics of electrons and ions in gases,,Physics,kinetics gases ions electrons
1919.0,the confirmation of the bohr atomic theory in the optical spectra by means of experiments of the unelastic impacts of slow electrons with gas molecules,,Physics,impacts unelastic bohr confirmation gas slow atomic spectra means optical
1916.0,the x-ray spectrum of the elements na to cr,,Physics,na cr spectrum elements ray
1916.0,on the high-frequency spectra (k-series) of elements cr to ge.,,Physics,ge cr frequency elements series spectra
1916.0,on a vacuum spectrograph for the registration of high-frequence spectra and a preliminary testing of rare soils with the same.,,Physics,soils frequence registration spectrograph testing rare vacuum preliminary spectra
1905.0,on the movement of small particles suspended in a stationary liquid demanded by the molecular kinetic theory of heart,,Physics,suspended demanded stationary kinetic heart movement liquid particles small molecular
1919.0,The Anomaly of the Nickel-Steels,https://doi.org/10.1088/1478-7814/32/1/337,Physics,steels anomaly nickel
1914.0,beobachtungen uber den effekt des elektrischen feldes auf spektrallinien ii langseffekt,https://doi.org/10.1002/andp.19143480702,Physics,langseffekt spektrallinien feldes beobachtungen effekt elektrischen auf den uber ii
1913.0,interferenzerscheinungen bei rontgenstrahlen,https://doi.org/10.1002/andp.19133461004,Physics,rontgenstrahlen interferenzerscheinungen bei
1911.0,"further experiments with liquid helium d - on the change of the electrical resistance of pure metals at very low temperatures, etc v the disappearance of the resistance of mercury",,Physics,resistance disappearance etc helium temperatures mercury pure metals electrical change
1983.0,Wien's displacement law,,Physics,displacement wien law
1887.0,On the Relative Motion of the Earth and the Luminiferous Ether,https://doi.org/10.2475/ajs.s3-34.203.333,Physics,luminiferous ether earth relative motion
1897.0,XL. Cathode Rays,https://doi.org/10.1080/14786449708621070,Physics,xl cathode rays
1894.0,Ueber Kathodenstrahlen in Gasen von atmosphrischem Druck und im ussersten Vacuum,https://doi.org/10.1002/andp.18942870202,Physics,ussersten druck ueber atmosphrischem gasen kathodenstrahlen im vacuum von und
1897.0,The Effect of Magnetisation on the Nature of Light Emitted by a Substance,,Physics,magnetisation emitted substance nature effect light
1896.0,The Influence of a Magnetic Field on Radiation Frequency,,Physics,influence frequency magnetic radiation field
